kernel,alpha,cov_regularizer,l,mae,mse,r2
attention,0.001,0.001,0.1,2.9435985027899307,14.573715826082909,0.8257976183597325
attention,0.001,0.001,0.31622776601683794,2.8662412643639468,14.14090007650958,0.8309711468741386
attention,0.001,0.001,1.0,2.664389448400543,12.020975254802368,0.8563110092158195
attention,0.001,0.001,3.1622776601683795,2.660203917314434,11.96101977532663,0.8570276684015546
attention,0.001,0.046415888336127795,0.1,2.9251258941711846,14.728998272927974,0.8239414979035531
attention,0.001,0.046415888336127795,0.31622776601683794,2.8304126327893475,13.779764183942682,0.835287872500718
attention,0.001,0.046415888336127795,1.0,2.626501176418482,11.651853673428683,0.8607231892910638
attention,0.001,0.046415888336127795,3.1622776601683795,2.618565872972438,11.579117920392124,0.8615926135038435
attention,0.001,2.1544346900318843,0.1,3.1331965865159237,24.69578592585707,0.7048066000392983
attention,0.001,2.1544346900318843,0.31622776601683794,2.5169532052448234,10.780682698571125,0.8711364607207464
attention,0.001,2.1544346900318843,1.0,2.313925981131675,9.003818387869979,0.8923756558902961
attention,0.001,2.1544346900318843,3.1622776601683795,2.3080005785259208,8.896019552100858,0.8936641957625654
attention,0.001,100.0,0.1,4.99577250743972,185.44726110323276,-1.216686186170178
attention,0.001,100.0,0.31622776601683794,2.270768450486792,9.492375852065337,0.8865358361184132
attention,0.001,100.0,1.0,2.3765455873805177,10.11244624470524,0.8791240174393935
attention,0.001,100.0,3.1622776601683795,2.57567951028527,11.605872808727177,0.8612728072633414
attention,0.046415888336127795,0.001,0.1,2.8032371271993934,13.216737533089601,0.8420178365453038
attention,0.046415888336127795,0.001,0.31622776601683794,2.865072741819205,13.931151982064979,0.8334783055173285
attention,0.046415888336127795,0.001,1.0,2.6590306008771227,11.970886063902098,0.856909734788171
attention,0.046415888336127795,0.001,3.1622776601683795,2.6588838067752905,11.95643922355385,0.8570824206032284
attention,0.046415888336127795,0.046415888336127795,0.1,2.7675115640799812,12.883489952007924,0.8460012079100994
attention,0.046415888336127795,0.046415888336127795,0.31622776601683794,2.829373684073848,13.56896218971799,0.8378076286073066
attention,0.046415888336127795,0.046415888336127795,1.0,2.6198176667762096,11.59442650555215,0.8614096270900666
attention,0.046415888336127795,0.046415888336127795,3.1622776601683795,2.6173584802391585,11.575799846969383,0.8616322750630229
attention,0.046415888336127795,2.1544346900318843,0.1,2.438916758271065,10.145177408595982,0.8787327756468631
attention,0.046415888336127795,2.1544346900318843,0.31622776601683794,2.499626684961773,10.61712115414184,0.8730915427962008
attention,0.046415888336127795,2.1544346900318843,1.0,2.3053851311803655,8.91468212425342,0.8934411185079169
attention,0.046415888336127795,2.1544346900318843,3.1622776601683795,2.3078731439957716,8.900865118621725,0.8936062757894847
attention,0.046415888336127795,100.0,0.1,3.2984969738846943,34.332042453282604,0.5896226032325425
attention,0.046415888336127795,100.0,0.31622776601683794,2.386069290866974,10.527790534924618,0.8741593285830753
attention,0.046415888336127795,100.0,1.0,2.4461209094584433,10.58712637949498,0.8734500760105575
attention,0.046415888336127795,100.0,3.1622776601683795,2.5647641264488743,11.55348290132029,0.8618990337352381
attention,2.1544346900318843,0.001,0.1,2.7853075923508994,12.97549934882183,0.8449014021879664
attention,2.1544346900318843,0.001,0.31622776601683794,2.757958908981049,12.675380012757534,0.8484887853744236
attention,2.1544346900318843,0.001,1.0,2.6597932710442787,11.952411722930469,0.857130562079913
attention,2.1544346900318843,0.001,3.1622776601683795,2.6527567275861474,11.907102316918673,0.8576721539794775
attention,2.1544346900318843,0.046415888336127795,0.1,2.749834963225142,12.613108552638742,0.8492331279148138
attention,2.1544346900318843,0.046415888336127795,0.31622776601683794,2.720541531060761,12.30722052675937,0.8528894653416805
attention,2.1544346900318843,0.046415888336127795,1.0,2.619443100662585,11.577057192411221,0.861617245775151
attention,2.1544346900318843,0.046415888336127795,3.1622776601683795,2.6118320056451307,11.535088377611004,0.8621189069561473
attention,2.1544346900318843,2.1544346900318843,0.1,2.4634549888312955,9.853621256631332,0.8822178014741964
attention,2.1544346900318843,2.1544346900318843,0.31622776601683794,2.396533922697746,9.54930058220452,0.8858554040527127
attention,2.1544346900318843,2.1544346900318843,1.0,2.3010705383117225,8.875730631943041,0.8939067130625168
attention,2.1544346900318843,2.1544346900318843,3.1622776601683795,2.304262599123088,8.887984904090827,0.8937602354298466
attention,2.1544346900318843,100.0,0.1,2.5275348176716035,11.770676126463595,0.8593028820366865
attention,2.1544346900318843,100.0,0.31622776601683794,2.469968983269183,10.753027199580497,0.8714670321307497
attention,2.1544346900318843,100.0,1.0,2.4518719669302538,10.694024399990308,0.8721723037536298
attention,2.1544346900318843,100.0,3.1622776601683795,2.5688171142044696,11.55909131911572,0.8618319952565923
attention,100.0,0.001,0.1,2.586162198951496,11.241898127439537,0.8656234654684085
attention,100.0,0.001,0.31622776601683794,2.588651017700042,11.268025063835465,0.8653111652562013
attention,100.0,0.001,1.0,2.568734159645299,11.089134521745963,0.8674494777399082
attention,100.0,0.001,3.1622776601683795,2.5539761324015964,11.025596293649352,0.8682089621975249
attention,100.0,0.046415888336127795,0.1,2.5624416127558667,11.046366951513043,0.8679606865956626
attention,100.0,0.046415888336127795,0.31622776601683794,2.56531759435622,11.078070300885607,0.8675817304644616
attention,100.0,0.046415888336127795,1.0,2.5464029887757156,10.897423744354052,0.8697410329209148
attention,100.0,0.046415888336127795,3.1622776601683795,2.532772224324648,10.837022272405221,0.8704630231390328
attention,100.0,2.1544346900318843,0.1,2.32934821812225,8.908783619649801,0.8935116244490461
attention,100.0,2.1544346900318843,0.31622776601683794,2.31731164743137,9.011671081100145,0.8922817911629123
attention,100.0,2.1544346900318843,1.0,2.298512821075747,8.843816560968452,0.8942881879888811
attention,100.0,2.1544346900318843,3.1622776601683795,2.298898853094171,8.840008103917846,0.8943337111963121
attention,100.0,100.0,0.1,2.4071906972891637,10.747705950438421,0.871530638028169
attention,100.0,100.0,0.31622776601683794,2.4546444103761074,10.524903963709466,0.874193832314756
attention,100.0,100.0,1.0,2.4594885152811856,10.779861789625347,0.8711462732006362
attention,100.0,100.0,3.1622776601683795,2.558098256573424,11.38804167553783,0.863876583997417
